"SB22","C00857649","BFF0EC3B3A20F4A6D822","","","CCM","KING-HINDS FOR CONGRESS","","","","","","P.O. BOX 64","","TINIAN","MP","969520064","","","20260608","2847.60","","TRANSFER OF NET PROCEEDS","008","C00873554","KING-HINDS FOR CONGRESS","H4MP01022","KING-HINDS","KIMBERLYN","KAY","","","H","MP","01","","","","","","","","","",""
"SB22","C00857649","BBDCB27C31C8549BBB3F","","","CCM","LALOTA FOR CONGRESS","","","","","","PO BOX 5744","","HAUPPAUGE","NY","117880155","","","20260608","7783.44","","TRANSFER OF NET PROCEEDS","008","C00806018","LALOTA FOR CONGRESS","H2NY01190","NICK","LALOTA","","","","H","NY","01","","","","","","","","","",""
"SB22","C00857649","B07CD5D14682946A09EA","","","CCM","MACKENZIE FOR CONGRESS COMMITTEE","","","","","","PO BOX 747","","EMMAUS","PA","180490747","","","20260608","5220.60","","TRANSFER OF NET PROCEEDS","008","C00846501","MACKENZIE FOR CONGRESS COMMITTEE","H8PA15195","MACKENZIE","RYAN","EDWARD","","","H","PA","07","","","","","","","","","",""
"SB22","C00857649","B1DEABAD9670342D2B4C","","","CCM","MCGUIRE FOR VIRGINIA","","","","","","PO BOX 242","","MANAKIN SABOT","VA","231030242","","","20260608","7308.84","","TRANSFER OF NET PROCEEDS","008","C00856831","MCGUIRE FOR VIRGINIA","H4VA05071","MCGUIRE","JOHN","","","","H","VA","05","","","","","","","","","",""
"SB22","C00857649","BD877E213D3BD4035B8F","","","CCM","MILLER-MEEKS FOR CONGRESS","","","","","","PO BOX 33","","OTTUMWA","IA","52501","","","20260608","5220.60","","TRANSFER OF NET PROCEEDS","008","C00558825","MILLER-MEEKS FOR CONGRESS","H0IA02180","MILLER-MEEKS","MARIANNETTE","JANE","","","H","IA","02","","","","","","","","","",""
"SB22","C00857649","BA3E2CB1309804A6FB7C","","","CCM","MONICA FOR CONGRESS","","","","","","PO BOX 4605","","MCALLEN","TX","785024605","","","20260608","6569.78","","TRANSFER OF NET PROCEEDS","008","C00765719","MONICA FOR CONGRESS","H0TX15124","DE LA CRUZ HERNANDEZ","MONICA","","","","H","TX","15","","","","","","","","","",""
"SB22","C00857649","B93050B836CED407CB0F","","","CCM","NICOLE FOR NEW YORK","","","","","","PO BOX 60487","","STATEN ISLAND","NY","10306","","","20260608","8542.81","","TRANSFER OF NET PROCEEDS","008","C00694778","NICOLE FOR NEW YORK","","MALLIOTAKIS","NICOLE","","","","H","NY","11","","","","","","","","","",""
"SB22","C00857649","B02CCD6914E364D87AA4","","","CCM","PATRIOTS FOR PERRY","","","","","","4075 LINGLESTOWN RD","PMB 119","HARRISBURG","PA","171121020","","","20260608","7119.00","","TRANSFER OF NET PROCEEDS","008","C00510164","PATRIOTS FOR PERRY","H2PA04135","PERRY","SCOTT","","","","H","PA","10","","","","","","","","","",""
"SB22","C00857649","B6699FE2FAA24495FB1C","","","PAC","RAPTOR PAC","","","","","","PO BOX 4864","","MIDLAND","TX","797044864","","","20260617","23730.01","","TRANSFER OF JOINT FUNDRAISING PROCEEDS","008","C00749481","RAPTOR PAC","","","","","","","","","","","","","","","","","","",""
"SB22","C00857649","BAEAC937DC0F04551906","","","CCM","ROB FOR PA","","","","","","11 DOCK ST","UNIT 971","PITTSTON","PA","186406228","","","20260608","5220.60","","TRANSFER OF NET PROCEEDS","008","C00852137","ROB FOR PA","H4PA08124","BRESNAHAN","ROB","","","","H","PA","08","","","","","","","","","",""
"SB22","C00857649","BAD7E73049326420C8B9","","","CCM","ROB WITTMAN FOR CONGRESS","","","","","","PO BOX 427","","ALEXANDRIA","VA","223130427","","","20260608","7308.84","","TRANSFER OF NET PROCEEDS","008","C00441014","ROB WITTMAN FOR CONGRESS","H8VA01147","WITTMAN","ROBERT J.","MR.","","","H","VA","01","","","","","","","","","",""
"SB22","C00857649","B2E0A164EF82D4A94A69","","","CCM","SALAZAR FOR CONGRESS","","","","","","3725 W FLAGLER ST","STE 281","CORAL GABLES","FL","331341601","","","20260608","7308.84","","TRANSFER OF NET PROCEEDS","008","C00714261","SALAZAR FOR CONGRESS","H8FL27185","SALAZAR","MARIA","ELVIRA","","","H","FL","27","","","","","","","","","",""
"SB22","C00857649","BF81216C540D249F4A9F","","","CCM","STEIL FOR WISCONSIN, INC.","","","","","","PO BOX 103","","OAK CREEK","WI","53154","","","20260608","7119.00","","TRANSFER OF NET PROCEEDS","008","C00677286","STEIL FOR WISCONSIN, INC.","H8WI01156","STEIL","BRYAN","GEORGE","","","H","WI","01","","","","","","","","","",""
"SB22","C00857649","B0956F5CB81444996B4F","","","CCM","TOM BARRETT FOR CONGRESS","","","","","","PO BOX 15221","","LANSING","MI","489015221","","","20260608","5220.60","","TRANSFER OF NET PROCEEDS","008","C00793976","TOM BARRETT FOR CONGRESS","H2MI07123","BARRETT","THOMAS","MORE","","","H","MI","07","","","","","","","","","",""
"SB22","C00857649","BCEBC52C5EB514672B73","","","CCM","VALADAO FOR CONGRESS","","","","","","5132 N PALM AVE","# 227","FRESNO","CA","937042236","","","20260608","2847.60","","TRANSFER OF NET PROCEEDS","008","C00499392","VALADAO FOR CONGRESS","H2CA20094","VALADAO","DAVID","","","","H","CA","22","","","","","","","","","",""
"SB22","C00857649","B383F62C082A440B9916","","","CCM","VAN ORDEN FOR CONGRESS","","","","","","PO BOX 1836","","LA CROSSE","WI","546021836","","","20260608","5220.60","","TRANSFER OF NET PROCEEDS","008","C00742007","VAN ORDEN FOR CONGRESS","H0WI03175","VAN ORDEN","DERRICK F. MR.","","","","H","WI","03","","","","","","","","","",""
